epoch,accuracy,loss,val_accuracy,val_loss
0,0.4315555691719055,1.0587676763534546,0.6119999885559082,0.977605402469635
1,0.6588147878646851,0.8517929911613464,0.6606666445732117,0.7440706491470337
2,0.7187407612800598,0.6956989765167236,0.734000027179718,0.6549659371376038
3,0.7392592430114746,0.6302680969238281,0.7473333477973938,0.6099812984466553
4,0.7586666941642761,0.5912817716598511,0.7566666603088379,0.5793585777282715
5,0.7695555686950684,0.5659327507019043,0.7846666574478149,0.5536773204803467
6,0.7784444689750671,0.5500386357307434,0.768666684627533,0.5524263381958008
7,0.7839999794960022,0.5358102321624756,0.7826666831970215,0.5348449945449829
8,0.7917777895927429,0.5252073407173157,0.7886666655540466,0.5283809900283813
9,0.8008888959884644,0.5125100612640381,0.7873333096504211,0.5223066210746765
10,0.7963703870773315,0.5136371850967407,0.79666668176651,0.5207578539848328
11,0.8052592873573303,0.5017660856246948,0.7873333096504211,0.5085911154747009
12,0.803851842880249,0.498853474855423,0.8046666383743286,0.5009326338768005
13,0.8032592535018921,0.4938395619392395,0.7926666736602783,0.5056815147399902
14,0.8032592535018921,0.49173641204833984,0.7886666655540466,0.4990735948085785
15,0.8067407608032227,0.48934295773506165,0.7960000038146973,0.5023521184921265
16,0.8087407350540161,0.48672276735305786,0.8080000281333923,0.49182406067848206
17,0.8073333501815796,0.48666808009147644,0.7993333339691162,0.4959341287612915
18,0.8081481456756592,0.4870481789112091,0.8100000023841858,0.48799869418144226
19,0.8096296191215515,0.48283013701438904,0.7973333597183228,0.49179503321647644
20,0.8122222423553467,0.4817168414592743,0.8026666641235352,0.4924295246601105
21,0.8139259219169617,0.4769617021083832,0.7726666927337646,0.5099003314971924
22,0.8151111006736755,0.4757988750934601,0.7933333516120911,0.5370121002197266
23,0.8131111264228821,0.476226806640625,0.8059999942779541,0.4797513782978058
